n;random;almost_sort;sorted_rev
77000;26232;19625;20131
77100;26667;19398;20170
77200;26678;19441;20125
77300;26780;19274;20166
77400;27201;19301;19828
77500;26394;19252;20006
77600;26609;19297;20115
77700;26636;19425;20154
77800;26555;19418;20286
77900;26822;19235;20120
78000;26524;19597;19874
78100;26318;19088;19860
78200;26243;19047;19814
78300;26402;19187;20206
78400;26914;19650;19874
78500;26824;19297;20189
78600;26517;19219;19963
78700;26462;19257;20022
78800;26424;19215;20684
78900;27833;19394;20096
79000;26669;19273;20063
79100;26960;19544;20109
79200;26736;19494;20988
79300;26659;19540;20185
79400;26883;19432;20114
79500;26800;19425;20159
79600;26965;19635;20471
79700;27697;19849;20773
79800;27385;19967;20670
79900;27550;19925;20647
80000;27424;19845;20758
80100;27383;20167;20737
80200;27329;19821;20765
80300;27603;19941;21002
80400;27642;20383;20822
80500;27490;19858;21081
80600;27416;19968;20991
80700;27386;19974;20497
80800;27109;19725;20536
80900;27170;19610;20524
81000;27198;19941;20506
81100;27493;19765;20576
81200;27322;19824;20599
81300;27946;19892;20701
81400;28409;20043;20755
81500;27391;20143;20870
81600;27452;19803;20778
81700;27453;19953;20743
81800;27748;20829;21491
81900;27961;20041;20973
82000;28429;20054;20820
82100;27743;20058;20809
82200;27547;20093;20915
82300;27615;20051;20855
82400;27697;20118;21008
82500;27852;20112;21053
82600;28142;20375;21166
82700;28137;20543;21356
82800;28203;20508;21279
82900;28299;20344;21479
83000;28396;20507;21276
83100;28372;20407;21469
83200;28421;20490;21452
83300;28301;20536;21456
83400;28511;20576;21317
83500;28506;20491;21658
83600;28369;20649;21412
83700;28499;20656;21496
83800;28518;20671;21623
83900;28549;20730;21650
84000;28729;20450;21298
84100;28468;20560;21421
84200;28313;20514;21351
84300;28267;20593;21434
84400;28396;20590;21497
84500;28347;20525;21471
84600;28407;20520;21507
84700;28525;20557;21457
84800;28847;20752;21539
84900;28605;20662;21537
85000;28501;20679;21547
85100;28649;20649;21581
85200;28676;20703;21592
85300;28674;20767;21663
85400;28716;20753;21631
85500;29026;20784;21695
85600;28781;20835;21728
85700;29030;22626;23939
85800;31816;22477;21790
85900;28822;20880;21787
86000;28985;20923;21847
86100;28895;21006;22361
86200;29066;20960;21943
86300;28962;21024;21913
86400;29111;21026;21967
86500;29011;21028;21944
86600;29112;21069;21948
86700;29149;21157;22852
86800;29165;21323;22312
86900;29198;21149;22117
87000;29163;21108;22167
87100;29289;21180;22278
87200;29259;21260;22208
87300;29312;21206;22149
87400;29454;21271;22159
87500;29636;21405;22257
87600;29466;21335;22278
87700;29566;21302;22247
87800;29439;21315;22277
87900;29469;21329;22314
88000;29486;21356;22356
88100;29720;22780;25473
88200;30155;21536;22514
88300;29704;21438;22403
88400;29742;21567;22891
88500;29741;21507;22670
88600;29765;21549;22556
88700;29821;21675;22638
88800;29809;21890;22645
88900;29960;21626;22610
89000;29864;21597;22579
89100;29980;21687;22610
89200;30089;21740;22674
89300;30100;21701;22776
89400;30134;21742;22738
89500;30377;22012;22842
89600;30214;21852;22870
89700;30143;21778;22860
89800;30289;21898;22976
89900;30184;21852;22848
90000;30457;21876;22835
90100;30255;22071;22955
90200;30255;21972;22920
90300;30292;21935;22919
90400;30382;21911;23021
90500;30350;22008;23012
90600;30346;22019;22961
90700;30496;22166;23172
90800;30844;22091;23126
90900;30571;22106;23128
91000;30597;22053;23231
91100;30610;22130;23141
91200;30575;22132;23134
91300;30699;22187;23280
91400;30787;22284;23500
91500;30745;22275;23287
91600;30792;22225;23249
91700;30850;22255;23314
91800;30805;22215;23309
91900;30868;22581;23367
92000;31027;22268;23609
92100;31016;22448;23430
92200;31078;22444;23437
92300;30975;22390;23479
92400;31026;22333;23548
92500;31069;22427;23482
92600;31072;22439;23528
92700;31560;22739;23564
92800;31206;22415;23601
92900;31170;22439;23701
93000;31309;22605;23604
93100;31258;22710;23637
93200;31727;23356;25037
93300;31350;22929;24017
93400;31573;22661;23813
93500;31341;22619;23823
93600;31476;22718;23786
93700;31477;22687;23860
93800;31486;22727;23819
93900;31520;22738;24361
94000;31650;22965;24357
94100;31631;22803;23908
94200;31589;22876;23936
94300;31756;22990;23976
94400;31728;22874;24018
94500;31773;22821;24020
94600;32138;22915;24148
94700;31807;22999;24023
94800;31788;22879;24108
94900;31989;23014;24288
95000;31985;22990;24170
95100;31907;23075;24169
95200;32119;22929;24290
95300;32085;23144;24264
95400;32009;23060;24331
95500;32072;23286;24466
95600;32280;23219;24535
95700;32618;23172;24321
95800;32353;23435;25078
95900;32539;23244;24412
96000;32213;23208;24384
96100;32405;23355;24468
96200;32310;23359;24416
96300;32397;23246;24503
96400;32432;23644;24571
96500;32411;23566;24562
96600;32388;23431;24554
96700;32547;23468;24599
96800;32500;23310;24597
96900;32495;23407;24763
97000;32504;23635;24830
97100;32663;23491;24679
97200;32658;23449;24758
97300;32650;23625;24745
97400;32659;23563;24794
97500;32706;23614;24815
97600;32883;23683;25183
97700;32897;23594;25837
97800;35854;25356;25039
97900;32893;23531;25023
98000;32926;23783;24891
98100;32976;23592;25179
98200;33011;23932;25242
98300;33103;23843;25010
98400;33299;23802;25374
98500;33268;23900;25052
98600;33434;23910;25085
98700;33140;23813;25137
98800;33113;24099;25368
98900;33266;23913;25215
99000;33218;24064;25226
99100;33325;23862;25223
99200;33357;23916;25254
99300;33334;24142;25355
99400;33382;24177;25375
99500;33649;24016;25316
99600;33449;24133;25417
99700;33586;24101;25404
99800;33531;24111;25510
99900;33619;24134;25418
100000;33839;24302;25469
